SAND,CLAY,SILT,BD,KSAT,SAT,DUL,LL,AirDry,PO,SWCON,CONA,DiffusConst,XF_maize,KL_maize,e,PH,CO,CEC,SW,TOP_LAYER,BOT_LAYER,THICK,RootCN,RootWt,id_cell,id_within_cell
5.0,19.0,76.0,1.52,4.2519972100963885,0.4109999999999999,0.28300000000000003,0.13,0.117,0.4264150943396226,0.3363274336283185,3.725,40.0,1.0,0.08,0.5,7.41,0.872093023255814,16.1,0.28300000000000003,0,50,50,45,1000,278,3
5.0,19.0,76.0,1.52,4.2519972100963885,0.4109999999999999,0.28300000000000003,0.13,0.117,0.4264150943396226,0.3363274336283185,3.725,40.0,1.0,0.08,0.5,7.41,0.872093023255814,16.1,0.28300000000000003,50,100,50,45,1000,278,3
5.0,19.0,76.0,1.52,4.2519972100963885,0.4109999999999999,0.28300000000000003,0.13,0.117,0.4264150943396226,0.3363274336283185,3.725,40.0,1.0,0.08,0.5,7.41,0.872093023255814,16.1,0.28300000000000003,100,150,50,45,1000,278,3
3.0,28.0,69.0,1.71,3.4727716599190526,0.3522727272727273,0.314,0.175,0.175,0.3547169811320755,0.11478723404255327,3.95,40.0,1.0,0.06802053673101528,0.5,7.41,0.29069767441860467,,0.314,150,200,50,45,1000,278,3
3.0,28.0,69.0,1.71,3.4727716599190526,0.3522727272727273,0.314,0.175,0.175,0.3547169811320755,0.11478723404255327,3.95,40.0,1.0,0.06802053673101528,0.5,7.41,0.29069767441860467,,0.314,200,400,200,45,1000,278,3
3.0,28.0,69.0,1.71,3.4727716599190526,0.3522727272727273,0.314,0.175,0.175,0.3547169811320755,0.11478723404255327,3.95,40.0,1.0,0.06802053673101528,0.5,7.41,0.29069767441860467,,0.314,400,600,200,45,1000,278,3
3.0,22.0,75.0,1.65,3.704840934964916,0.37500000000000006,0.28700000000000003,0.136,0.136,0.37735849056603776,0.23700563204005007,3.8,40.0,1.0,0.04514332051105313,0.5,7.41,0.18168604651162792,,0.28700000000000003,600,800,200,45,1000,278,3
3.0,20.0,77.0,1.63,3.7821973599802043,0.3825757575757576,0.278,0.12300000000000001,0.12300000000000001,0.3849056603773585,0.27774509803921565,3.75,40.0,1.0,0.037517581771065754,0.5,7.41,0.14534883720930233,,0.278,800,1000,200,45,1000,278,3
3.0,20.0,77.0,1.63,3.7821973599802043,0.3825757575757577,0.278,0.12300000000000001,0.12300000000000001,0.3849056603773585,0.27774509803921565,3.75,40.0,1.0,0.037517581771065754,0.5,7.41,0.14534883720930233,,0.278,1000,1500,500,45,1000,278,3
8.7,17.9,73.4,1.573,6.600371075874796,0.3836030303030304,0.26420000000000005,0.10830000000000001,0.10830000000000001,0.4064150943396227,0.34199181656133526,3.6975,40.0,0.73,0.03327931488641492,0.5,7.41,0.12790697674418605,,0.26420000000000005,1500,2000,500,45,1000,278,3
